run_name,app_time,total_mpi_time,mpi_Allgather,mpi_Allgatherv,mpi_Allreduce,mpi_Barrier,mpi_Bcast,mpi_Comm_create,mpi_Comm_free,mpi_Comm_group,mpi_Group_free,mpi_Group_incl,mpi_Iprobe,mpi_Irecv,mpi_Isend,mpi_Recv,mpi_Scan,mpi_Send,mpi_Test,mpi_Testall,mpi_Wait,mpi_Waitall
amg-3184630,3.828125e+02,2.421875e+02,9.065684e-05,2.417401e-03,3.030532e+01,3.020000e-03,1.949654e-01,3.355000e-02,3.534363e-05,1.280000e-03,2.035000e-03,1.510000e-03,2.436295e+01,3.268782e+01,4.055343e+01,4.861726e+00,5.694886e-01,1.816020e+00,8.955417e+00,3.034025e+00,9.226893e-02,9.427868e+01
amg-3191373,3.828125e+02,2.421875e+02,1.013889e-04,2.838088e-03,3.105384e+01,2.036641e-03,2.014364e-01,3.601152e-02,3.814701e-05,1.279756e-03,2.039863e-03,1.458984e-03,2.285067e+01,3.293338e+01,4.054934e+01,4.864071e+00,6.304462e-01,1.815513e+00,8.384705e+00,2.840293e+00,9.240339e-02,9.551344e+01
amg-3203022,3.828125e+02,2.421875e+02,9.370918e-05,2.591728e-03,3.024337e+01,1.990000e-03,1.900320e-01,3.525000e-02,3.599959e-05,1.290000e-03,2.045000e-03,1.560000e-03,2.333677e+01,3.290326e+01,4.067866e+01,4.869608e+00,6.097600e-01,1.828666e+00,8.611319e+00,2.890903e+00,9.217552e-02,9.583726e+01
amg-3204829,3.828125e+02,2.402344e+02,9.473145e-05,2.621470e-03,3.184632e+01,3.040000e-03,1.978282e-01,3.525000e-02,3.632080e-05,1.275000e-03,2.040000e-03,1.530000e-03,2.338584e+01,3.285716e+01,4.059477e+01,4.851011e+00,6.159920e-01,1.816772e+00,8.692993e+00,2.786359e+00,9.269516e-02,9.325118e+01
amg-3208766,3.828125e+02,2.421875e+02,1.026475e-04,2.878163e-03,3.046179e+01,1.870000e-03,1.934872e-01,3.545000e-02,3.832471e-05,1.280000e-03,2.040000e-03,1.495000e-03,2.274151e+01,3.295362e+01,4.067020e+01,4.886225e+00,6.311930e-01,1.815666e+00,8.331685e+00,2.839934e+00,9.231958e-02,9.628631e+01
amg-3210383,3.828125e+02,2.402344e+02,9.861016e-05,2.703489e-03,3.058179e+01,2.000000e-03,1.975276e-01,3.515000e-02,3.743695e-05,1.285000e-03,2.050000e-03,1.540000e-03,2.280118e+01,3.284313e+01,4.056540e+01,4.863273e+00,6.032280e-01,1.816007e+00,8.313109e+00,2.821600e+00,9.255432e-02,9.532116e+01
amg-3215928,3.828125e+02,2.402344e+02,9.597227e-05,2.676146e-03,3.104488e+01,2.131582e-03,2.028618e-01,3.602031e-02,3.676307e-05,1.292119e-03,2.044131e-03,1.491660e-03,2.305332e+01,3.261193e+01,4.061060e+01,4.858658e+00,6.413462e-01,1.829525e+00,8.461545e+00,2.804432e+00,9.216672e-02,9.428944e+01
amg-3217710,3.828125e+02,2.402344e+02,9.764961e-05,2.773341e-03,3.056303e+01,1.880000e-03,1.884333e-01,3.420000e-02,3.735207e-05,1.280000e-03,2.045000e-03,1.505000e-03,2.288647e+01,3.281639e+01,4.057598e+01,4.850148e+00,5.966070e-01,1.822364e+00,8.354777e+00,2.831346e+00,9.244477e-02,9.530541e+01
amg-3222363,3.828125e+02,2.402344e+02,9.664805e-05,2.688731e-03,3.065915e+01,2.010000e-03,2.017356e-01,3.510000e-02,3.735316e-05,1.280000e-03,2.040000e-03,1.580000e-03,2.283562e+01,3.279381e+01,4.065488e+01,4.853502e+00,6.034320e-01,1.828268e+00,8.359425e+00,2.843157e+00,9.211324e-02,9.525707e+01
amg-3223833,3.828125e+02,2.402344e+02,9.363105e-05,2.577633e-03,3.030089e+01,1.850000e-03,1.901925e-01,3.315000e-02,3.668285e-05,1.280000e-03,2.050000e-03,1.515000e-03,2.315599e+01,3.271941e+01,4.055287e+01,4.886711e+00,6.102750e-01,1.815834e+00,8.444800e+00,2.903728e+00,9.272646e-02,9.527503e+01
