app_name,run_time,job_id,runtime
nanoGPT,2025-03-25_18-16-14,37186663,281.15878
nanoGPT,2025-03-25_22-23-32,37186943,279.10085
nanoGPT,2025-03-26_02-57-32,37202857,277.7326099999999
nanoGPT,2025-04-01_02-07-36,37350533,291.27097
nanoGPT,2025-04-01_07-19-17,37359319,274.79561
nanoGPT,2025-04-01_10-33-53,37364008,276.7853600000001
nanoGPT,2025-04-02_01-25-36,37383402,274.96274
nanoGPT,2025-04-02_04-20-54,37395776,276.91191000000003
nanoGPT,2025-04-02_17-07-37,37400054,276.99817999999993
nanoGPT,2025-04-03_08-38-45,37409188,276.53175999999996
nanoGPT,2025-04-03_09-54-58,37415945,276.93143
nanoGPT,2025-04-04_01-15-23,37424374,277.56969000000004
nanoGPT,2025-04-04_10-11-37,37437373,277.26055
nanoGPT,2025-04-04_14-26-07,37460196,275.94912
nanoGPT,2025-04-04_22-06-57,37474084,276.5016800000001
nanoGPT,2025-04-05_07-32-37,37485594,276.10958
nanoGPT,2025-04-06_00-53-38,37489001,277.10171
nanoGPT,2025-04-06_01-53-02,37494379,277.44936000000007
nanoGPT,2025-04-06_04-58-33,37502641,278.40447000000006
nanoGPT,2025-04-06_11-06-47,37509580,277.1543300000001
nanoGPT,2025-04-07_06-58-46,37517901,277.58558
nanoGPT,2025-04-07_12-59-52,37523386,276.41794
nanoGPT,2025-04-07_18-46-12,37529382,276.81372999999996
nanoGPT,2025-04-07_19-23-47,37551499,277.50953
nanoGPT,2025-04-08_11-04-34,37561869,277.39647
nanoGPT,2025-04-08_16-08-08,37570465,275.69840999999997
nanoGPT,2025-04-08_19-35-40,37589373,277.34963
nanoGPT,2025-04-09_01-11-50,37597353,285.6879
nanoGPT,2025-04-09_10-32-05,37604633,279.08581999999996
MILC,2024-12-30_16-14-51,34357636,224.1334
MILC,2024-12-31_07-13-09,34431331,237.6835
MILC,2024-12-31_12-43-44,34434893,220.4502
MILC,2024-12-31_17-42-55,34448176,214.2498
MILC,2025-01-01_02-58-30,34458688,213.8315
MILC,2025-01-02_04-38-26,34469337,232.2657
MILC,2025-01-02_23-27-16,34484111,232.2344
MILC,2025-01-03_07-02-12,34501146,213.5008
MILC,2025-01-03_08-44-05,34512000,216.2339
MILC,2025-01-03_11-43-43,34523954,220.4509
MILC,2025-01-03_14-29-33,34530592,221.3643
MILC,2025-01-03_17-25-20,34539623,215.8925
MILC,2025-01-03_20-23-13,34552867,222.885
MILC,2025-01-04_00-56-25,34563262,241.7888
MILC,2025-01-04_10-31-18,34569638,229.0545
MILC,2025-01-04_22-58-15,34583340,212.792
MILC,2025-01-05_00-59-51,34589837,216.1999
MILC,2025-01-06_09-47-36,34595148,214.6971
MILC,2025-01-07_00-06-45,34602686,217.8086
MILC,2025-01-07_08-44-37,34627345,225.7682
MILC,2025-01-07_08-50-07,34636157,208.3649
MILC,2025-01-08_02-05-47,34643452,213.3706
MILC,2025-01-08_06-17-02,34650602,222.7938
MILC,2025-01-08_11-58-47,34663028,226.5071
MILC,2025-01-10_00-16-03,34679548,210.7927
MILC,2025-01-10_00-17-20,34687707,214.9497
MILC,2025-01-10_10-09-09,34704574,226.8063
MILC,2025-01-10_13-19-42,34713506,217.6459
MILC,2025-01-10_18-38-49,34718831,231.7396
MILC,2025-01-11_17-45-39,34730815,223.3134
MILC,2025-01-12_02-51-40,34737705,225.0431
MILC,2025-01-12_04-27-06,34742304,208.4698
MILC,2025-01-12_05-18-41,34755744,213.9867
MILC,2025-01-12_05-31-55,34762777,211.2004
MILC,2025-01-14_02-41-51,34768173,218.8712
MILC,2025-01-15_00-33-15,34775445,226.0256
MILC,2025-01-15_01-49-29,34783274,234.51
MILC,2025-01-15_02-37-56,34790738,225.2432
MILC,2025-01-15_02-59-52,34799014,234.2068
MILC,2025-01-15_03-10-00,34807418,214.5983
MILC,2025-01-15_03-24-34,34812291,220.7244
MILC,2025-01-25_04-50-26,35175246,234.8293
MILC,2025-01-25_05-39-56,35212995,214.4394
MILC,2025-03-29_04-28-15,37243035,218.3623
MILC,2025-03-29_04-37-07,37250905,225.0883
MILC,2025-03-29_15-32-34,37256011,217.7294
MILC,2025-03-30_05-13-17,37279449,202.5118
MILC,2025-03-30_13-38-45,37287214,220.3932
MILC,2025-03-30_18-26-58,37296753,210.2697
MILC,2025-03-30_22-33-39,37311408,233.3798
MILC,2025-03-31_22-07-45,37346276,223.2524
MILC,2025-04-01_01-17-21,37350081,227.6027
MILC,2025-04-01_07-32-42,37359320,221.4322
MILC,2025-04-01_10-55-44,37364014,219.8716
MILC,2025-04-02_03-36-38,37383414,220.0817
MILC,2025-04-02_04-43-00,37395779,213.0719
MILC,2025-04-02_17-15-05,37400055,217.4444
MILC,2025-04-03_08-50-38,37409195,216.5712
MILC,2025-04-03_23-54-46,37415948,216.171
MILC,2025-04-04_02-10-16,37424381,222.4127
MILC,2025-04-04_10-41-46,37437374,220.3915
MILC,2025-04-04_11-18-23,37450211,220.4672
MILC,2025-04-04_14-26-09,37460197,215.0778
MILC,2025-04-04_22-06-56,37474087,217.2899
MILC,2025-04-05_07-32-36,37485595,241.2459
MILC,2025-04-06_00-53-37,37489002,219.3841
MILC,2025-04-06_04-06-42,37494383,212.4617
MILC,2025-04-06_04-58-31,37502642,263.0813
MILC,2025-04-06_15-32-22,37509582,237.6713
MILC,2025-04-07_07-08-29,37517902,229.2304
MILC,2025-04-07_16-27-46,37523387,237.6371
MILC,2025-04-07_18-54-56,37529383,214.9355
MILC,2025-04-08_12-36-57,37551500,238.9853
MILC,2025-04-08_18-54-43,37561871,232.7486
MILC,2025-04-08_19-06-36,37570467,222.4792
MILC,2025-04-08_20-47-41,37589375,255.5231
MILC,2025-04-09_01-49-42,37597356,219.9748
MILC,2025-04-09_11-07-41,37604634,208.263
