Node,GPU,Time
nid008364,1,0.255494
nid008520,2,0.256218
nid008424,2,0.253493
nid008557,0,0.253226
nid008521,0,0.255255
nid008525,1,0.25626
nid008360,1,0.256953
nid008517,2,0.254021
nid008517,1,0.253082
nid008424,3,0.254371
nid008560,0,0.258148
nid008364,3,0.25415
nid008473,3,0.254659
nid008557,2,0.254279
nid008593,3,0.253409
nid008461,0,0.258857
nid008560,2,0.25888
nid008520,0,0.259139
nid008364,0,0.256184
nid008360,2,0.257336
nid008520,3,0.256129
nid008524,1,0.254003
nid008557,1,0.254543
nid008557,3,0.25511
nid008525,3,0.254667
nid008473,2,0.255328
nid008596,3,0.254384
nid008560,1,0.255348
nid008593,1,0.254861
nid008525,2,0.255576
nid008560,3,0.255048
nid008524,0,0.255517
nid008360,0,0.25636
nid008596,0,0.25634
nid008521,1,0.256895
nid008524,2,0.256285
nid008524,3,0.256274
nid008461,1,0.257458
nid008473,0,0.257125
nid008525,0,0.257808
nid008461,2,0.257082
nid008424,0,0.256768
nid008596,2,0.256918
nid008521,2,0.257501
nid008461,3,0.257474
nid008364,2,0.257452
nid003341,3,0.271292
nid003960,1,0.268948
nid003960,2,0.272502
nid003341,0,0.271292
nid003341,1,0.269891
nid003960,3,0.271862
nid003341,2,0.274523
nid003960,0,0.280181
nid003645,3,0.266645
nid003617,1,0.269408
nid003624,1,0.267757
nid003644,3,0.270285
nid003636,0,0.269475
nid003640,0,0.27307
nid003621,1,0.270243
nid003648,2,0.272481
nid003632,0,0.272525
nid003628,3,0.266393
nid003641,1,0.269192
nid003617,0,0.27361
nid003636,1,0.267015
nid003633,3,0.269468
nid003641,2,0.273189
nid003641,0,0.273398
nid003624,2,0.267498
nid003645,1,0.272858
nid003632,1,0.268423
nid003625,3,0.271724
nid003648,0,0.275789
nid003644,1,0.268732
nid003620,3,0.269656
nid003636,2,0.268532
nid003629,1,0.26811
nid003621,0,0.272314
nid003645,0,0.274178
nid003625,1,0.269202
nid003636,3,0.27098
nid003648,1,0.26873
nid003624,0,0.274651
nid003648,3,0.269186
nid003633,0,0.274873
nid003621,3,0.269799
nid003640,3,0.271072
nid003629,3,0.270393
nid003628,1,0.270759
nid003632,3,0.271386
nid003629,2,0.270584
nid003620,0,0.274093
nid003621,2,0.27123
nid003633,2,0.27139
nid003640,1,0.271268
nid003644,2,0.271975
nid003641,3,0.271869
nid003628,0,0.271778
nid003633,1,0.272122
nid003640,2,0.271773
nid003625,2,0.272352
nid003617,3,0.279719
nid003645,2,0.272936
nid003628,2,0.272946
nid003624,3,0.273277
nid003644,0,0.273981
nid003632,2,0.274254
nid003637,3,0.27154
nid003620,2,0.276726
nid003617,2,0.274191
nid003629,0,0.274426
nid003625,0,0.274622
nid003637,2,0.273162
nid003637,1,0.273635
nid003620,1,0.275343
nid003637,0,0.276995
